"year","port","name","value","state","indian","fishery","metric","units","latitude","longitude","center_latitude","center_longitude"
"1980","Neah Bay","Aug",2682,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1980","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1980","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1980","Neah Bay","Season",6021,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1981","Neah Bay","May",920,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1981","Neah Bay","June",63,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1981","Neah Bay","July",2569,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1981","Neah Bay","Aug",3654,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1981","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1981","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1981","Neah Bay","Season",7206,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1982","Neah Bay","May",356,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1982","Neah Bay","June",65,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1982","Neah Bay","July",2898,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1982","Neah Bay","Aug",389,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1982","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1982","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1982","Neah Bay","Season",3708,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1983","Neah Bay","May",464,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1983","Neah Bay","June",30,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1983","Neah Bay","July",1027,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1983","Neah Bay","Aug",1014,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1983","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1983","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1983","Neah Bay","Season",2535,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1984","Neah Bay","May",121,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1984","Neah Bay","June",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1984","Neah Bay","July",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1984","Neah Bay","Aug",309,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1984","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1984","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1984","Neah Bay","Season",430,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1985","Neah Bay","May",220,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1985","Neah Bay","June",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1985","Neah Bay","July",152,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1985","Neah Bay","Aug",1292,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1985","Neah Bay","Sept",14,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1985","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1985","Neah Bay","Season",1678,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1986","Neah Bay","May",233,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1986","Neah Bay","June",4,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1986","Neah Bay","July",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1986","Neah Bay","Aug",623,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1986","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1986","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1986","Neah Bay","Season",860,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1987","Neah Bay","May",263,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1987","Neah Bay","June",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1987","Neah Bay","July",12,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1987","Neah Bay","Aug",7,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1987","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1987","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1987","Neah Bay","Season",282,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1988","Neah Bay","May",576,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1988","Neah Bay","June",464,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1988","Neah Bay","July",3,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1988","Neah Bay","Aug",24,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1988","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1988","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1988","Neah Bay","Season",1067,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1989","Neah Bay","May",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1989","Neah Bay","June",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1989","Neah Bay","July",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1989","Neah Bay","Aug",861,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1989","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1989","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1989","Neah Bay","Season",861,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1990","Neah Bay","May",848,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1990","Neah Bay","June",66,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1990","Neah Bay","July",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1990","Neah Bay","Aug",657,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1990","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1990","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1990","Neah Bay","Season",1571,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1991","Neah Bay","May",786,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1991","Neah Bay","June",343,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1991","Neah Bay","July",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1991","Neah Bay","Aug",958,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1991","Neah Bay","Sept",207,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1991","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1991","Neah Bay","Season",2294,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1992","Neah Bay","May",569,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1992","Neah Bay","June",486,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1992","Neah Bay","July",290,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1992","Neah Bay","Aug",174,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1992","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1992","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1992","Neah Bay","Season",1519,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1993","Neah Bay","May",602,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1993","Neah Bay","June",420,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1993","Neah Bay","July",302,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1993","Neah Bay","Aug",146,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1993","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1993","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1993","Neah Bay","Season",1470,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1994","Neah Bay","May",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1994","Neah Bay","June",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1994","Neah Bay","July",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1994","Neah Bay","Aug",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1994","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1994","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1994","Neah Bay","Season",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1995","Neah Bay","May",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1995","Neah Bay","June",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1995","Neah Bay","July",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1995","Neah Bay","Aug",345,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1995","Neah Bay","Sept",56,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1995","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1995","Neah Bay","Season",401,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1996","Neah Bay","May",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1996","Neah Bay","June",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1996","Neah Bay","July",108,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1996","Neah Bay","Aug",147,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1996","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1996","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1996","Neah Bay","Season",255,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1997","Neah Bay","May",168,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1997","Neah Bay","June",62,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1997","Neah Bay","July",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1997","Neah Bay","Aug",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1997","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1997","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1997","Neah Bay","Season",230,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1998","Neah Bay","May",87,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1998","Neah Bay","June",8,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1998","Neah Bay","July",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1998","Neah Bay","Aug",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1998","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1998","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1998","Neah Bay","Season",95,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1999","Neah Bay","May",154,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1999","Neah Bay","June",105,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1999","Neah Bay","July",84,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1999","Neah Bay","Aug",29,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1999","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1999","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"1999","Neah Bay","Season",372,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2000","Neah Bay","May",149,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2000","Neah Bay","June",75,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2000","Neah Bay","July",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2000","Neah Bay","Aug",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2000","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2000","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2000","Neah Bay","Season",224,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2001","Neah Bay","May",84,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2001","Neah Bay","June",81,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2001","Neah Bay","July",49,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2001","Neah Bay","Aug",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2001","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2001","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2001","Neah Bay","Season",214,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2002","Neah Bay","May",97,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2002","Neah Bay","June",81,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2002","Neah Bay","July",139,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2002","Neah Bay","Aug",80,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2002","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2002","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2002","Neah Bay","Season",397,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2003","Neah Bay","May",280,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2003","Neah Bay","June",92,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2003","Neah Bay","July",150,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2003","Neah Bay","Aug",132,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2003","Neah Bay","Sept",14,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2003","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2003","Neah Bay","Season",668,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2004","Neah Bay","May",198,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2004","Neah Bay","June",1,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2004","Neah Bay","July",160,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2004","Neah Bay","Aug",116,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2004","Neah Bay","Sept",33,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2004","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2004","Neah Bay","Season",508,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2005","Neah Bay","May",164,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2005","Neah Bay","June",24,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2005","Neah Bay","July",149,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2005","Neah Bay","Aug",146,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2005","Neah Bay","Sept",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2005","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2005","Neah Bay","Season",483,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2006","Neah Bay","May",144,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2006","Neah Bay","June",89,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2006","Neah Bay","July",15,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2006","Neah Bay","Aug",54,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2006","Neah Bay","Sept",38,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2006","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2006","Neah Bay","Season",340,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2007","Neah Bay","May",49,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2007","Neah Bay","June",10,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2007","Neah Bay","July",37,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2007","Neah Bay","Aug",2,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2007","Neah Bay","Sept",2,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2007","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2007","Neah Bay","Season",100,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2008","Neah Bay","May",34,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2008","Neah Bay","June",65,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2008","Neah Bay","July",1,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2008","Neah Bay","Aug",9,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2008","Neah Bay","Sept",0,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2008","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2008","Neah Bay","Season",109,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2009","Neah Bay","May",68,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2009","Neah Bay","June",74,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2009","Neah Bay","July",50,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2009","Neah Bay","Aug",2,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2009","Neah Bay","Sept",2,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2009","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2009","Neah Bay","Season",196,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2010","Neah Bay","May",139,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2010","Neah Bay","June",97,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2010","Neah Bay","July",44,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2010","Neah Bay","Aug",18,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2010","Neah Bay","Sept",0,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2010","Neah Bay","Oct",NA,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2010","Neah Bay","Season",298,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
"2011","Neah Bay","May",107,"WA","Indian","commercial","effort","days fished",48.3681,-124.625,48.37427,-124.6285
